State/Union Territory,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Total Production,cattle,buffalo,sheep,goat,Total Animals
Andaman and Nicobar Islands,24,20,23,24,26,24,25,26,21,14,16,15,16,17,18,19,328,36438,3700,5,64761,104904
Andhra Pradesh#,7257,7624,7938,8925,9570,10429,11203,12088,12762,13007,9656,10817,12178,13725,15044,15263,177486,4600087,6219499,17626971,5522133,33968690
Arunachal Pradesh,48,48,49,32,24,26,28,22,23,43,46,50,53,54,55,61,662,339221,6379,7345,159740,512685
Assam,739,747,750,752,753,756,790,796,800,815,829,843,861,872,882,920,12905,10909239,421715,332100,4315173,15978227
Bihar,4743,5060,5451,5783,5934,6124,6517,6643,6845,7197,7775,8288,8711,9242,9818,10480,114611,15397980,7719794,213377,12821216,36152367
Chandigarh,43,46,46,47,47,46,45,45,44,44,44,43,36,42,45,49,712,13440,12177,0,998,26615
Chhattisgarh,831,839,849,866,908,956,1029,1119,1164,1209,1232,1277,1374,1469,1567,1676,18365,9983954,1174722,180229,4005657,15344562
Dadra & Nagar Haveli,4,5,5,10,10,10,11,11,11,11,9,9,8,8,9,9,140,39736,997,84,7548,48365
Daman & Diu,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1840,374,68,987,3269
Goa,57,56,57,58,59,59,60,60,61,68,67,54,51,55,57,61,940,60247,27207,8,9446,96908
Gujarat,6745,6960,7533,7911,8386,8844,9321,9817,10315,11112,11691,12262,12784,13569,14493,15292,167035,9633637,10543250,1787263,4867744,26831894
Haryana,5222,5299,5366,5442,5745,6006,6267,6661,7040,7442,7901,8381,8975,9809,10726,11735,118017,1928682,4368023,288370,334640,6919715
Himachal Pradesh,870,869,933,1007,1026,971,1102,1120,1139,1151,1172,1283,1329,1392,1460,1531,18355,1828017,646565,791345,1108413,4374340
Jammu and Kashmir,1422,1400,1400,1519,1565,1592,1609,1614,1631,1615,1951,2273,2376,2460,2540,2506,29473,2539240,690829,3247503,1730218,8207790
Jharkhand,1330,1335,1401,1442,1466,1463,1555,1745,1679,1700,1734,1812,1894,2016,2183,2321,27076,11223052,1350313,641183,9121173,22335721
Karnataka,3917,4022,4124,4244,4538,4822,5114,5447,5718,5997,6121,6344,6562,7137,7901,9031,91039,8469004,2984560,11050728,6169392,28673684
Kerala,2025,2063,2119,2253,2441,2509,2645,2716,2791,2655,2711,2650,2520,2576,2548,2544,39766,1341996,101504,1482,1359161,2804143
Lakshadweep,1,2,2,2,2,2,2,2,2,6,4,3,3,4,4,4,45,2493,16,0,43188,45697
Madhya Pradesh,5506,6283,6374,6572,6855,7167,7514,8149,8838,9599,10779,12148,13445,14713,15911,17109,156962,18750828,10307131,324585,11064524,40447068
Maharashtra,6567,6769,6978,7210,7455,7679,8044,8469,8734,9089,9542,10153,10402,11102,11655,12024,141872,13992304,5603692,2680329,10604883,32881208
Manipur,75,77,77,78,78,78,78,79,80,82,82,79,79,82,86,90,1280,224472,36230,5921,38697,305320
Meghalaya,71,73,74,77,77,78,79,80,81,82,83,84,84,85,87,88,1283,903570,15714,15679,397503,1332466
Mizoram,16,15,16,17,17,11,11,14,14,15,20,22,24,25,26,24,287,45701,2109,485,14820,63115
Nagaland,69,74,67,45,53,78,76,78,79,81,76,77,79,74,73,62,1141,78296,15654,361,31602,125913
Odisha,1283,1342,1431,1625,1598,1651,1671,1721,1724,1861,1903,1930,2003,2088,2311,2370,28512,9903970,458324,1279149,6393452,18034895
Puducherry,41,43,45,47,46,46,47,45,47,47,48,48,48,49,49,50,746,71984,2395,2445,73630,150454
Punjab,8554,8909,9168,9282,9387,9389,9423,9551,9724,10011,10351,10774,11282,11855,12599,13348,163607,2531460,4015947,85560,347949,6980916
Rajasthan,8310,8713,10309,11377,11931,12331,13234,13512,13946,14573,16934,18500,20850,22427,23668,25573,246188,13937630,13693316,7903857,20840203,56375006
Sikkim,46,48,49,42,42,44,43,45,42,46,50,67,54,59,61,84,822,148010,1144,2016,90506,241676
Tamil Nadu,4784,5474,6277,6540,6651,6787,6831,6968,7005,7049,7132,7244,7556,7742,8362,8759,111161,9518660,518795,4500491,9888746,24426692
Telangana,-,-,-,-,-,-,-,-,-,-,4207,4442,4681,4965,5416,5590,29301,4232539,4226306,19063058,4934673,32456576
Tripura,86,87,89,91,96,100,104,111,118,130,141,152,160,174,185,199,2023,739031,7131,5460,360204,1111826
Uttar Pradesh,16512,17356,18094,18861,19537,20203,21031,22556,23330,24194,25198,26387,27770,29052,30519,31864,372464,19019641,33016785,984725,14480025,67501176
Uttarakhand,1195,1206,1213,1221,1230,1377,1383,1417,1478,1550,1565,1656,1692,1742,1792,1845,23562,1852123,866318,284615,1371971,4375027
West Bengal,3790,3891,3983,4087,4176,4300,4471,4672,4859,4906,4961,5038,5183,5389,5607,5869,75182,19077916,630921,952886,16279340,36941063
